name,description,author,test_type,test_category,priority,scrum_name,steps,expected_output,automation_status,automation_script_path,automation_author,tag,feature_id
Upload Test 12,Upload Test 12,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 13,Upload Test 13,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 14,Upload Test 14,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 15,Upload Test 15,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 16,Upload Test 16,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 17,Upload Test 17,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 18,Upload Test 18,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 19,Upload Test 19,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 20,Upload Test 20,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 21,Upload Test 21,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 22,Upload Test 22,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 23,Upload Test 23,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 24,Upload Test 24,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 25,Upload Test 25,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 26,Upload Test 26,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 27,Upload Test 27,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 28,Upload Test 28,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 29,Upload Test 29,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 30,Upload Test 30,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 31,Upload Test 31,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 32,Upload Test 32,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 33,Upload Test 33,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 34,Upload Test 34,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 35,Upload Test 35,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 36,Upload Test 36,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 37,Upload Test 37,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 38,Upload Test 38,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 39,Upload Test 39,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 40,Upload Test 40,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 41,Upload Test 41,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 42,Upload Test 42,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 43,Upload Test 43,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 44,Upload Test 44,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 45,Upload Test 45,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 46,Upload Test 46,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 47,Upload Test 47,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 48,Upload Test 48,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 49,Upload Test 49,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 50,Upload Test 50,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 51,Upload Test 51,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 52,Upload Test 52,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 53,Upload Test 53,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 54,Upload Test 54,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 55,Upload Test 55,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 56,Upload Test 56,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 57,Upload Test 57,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 58,Upload Test 58,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 59,Upload Test 59,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 60,Upload Test 60,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 61,Upload Test 61,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 62,Upload Test 62,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 63,Upload Test 63,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 64,Upload Test 64,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 65,Upload Test 65,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 66,Upload Test 66,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 67,Upload Test 67,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 68,Upload Test 68,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 69,Upload Test 69,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 70,Upload Test 70,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 71,Upload Test 71,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 72,Upload Test 72,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 73,Upload Test 73,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 74,Upload Test 74,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 75,Upload Test 75,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 76,Upload Test 76,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 77,Upload Test 77,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 78,Upload Test 78,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 79,Upload Test 79,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 80,Upload Test 80,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 81,Upload Test 81,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 82,Upload Test 82,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 83,Upload Test 83,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 84,Upload Test 84,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 85,Upload Test 85,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 86,Upload Test 86,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 87,Upload Test 87,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 88,Upload Test 88,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 89,Upload Test 89,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 90,Upload Test 90,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 91,Upload Test 91,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 92,Upload Test 92,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
Upload Test 93,Upload Test 93,Snehasish.Das@247.ai,Manual,UI,1,E2E,Login>>Navigate to Assist console>>click on Monitor>>Verify the agent online status,User must be logged in>>Assist console must open>>Monitor tab must open>>Agent must be online,,,,"not to exeucte, release_X",17XYZ3
Upload Test 94,Upload Test 94,Snehasish.Das@247.ai,Automation,UI,1,E2E,Login>>Navigate to Card Designer>>Add Payment Card>>Add fields,User must be logged in>>Card designer page must open>>Must be able to add payment card>>Must be able to update the fields,Ready,./tests/somepath/somescript.ts,Snehasish.Das@247.ai,"not to exeucte, release_X",17XYZ3
